# FILE: /volumes/data1/swisstopo/LEAG8403.A1.InputData/LEAG8403-COORDINATES SP.pdf
# VER:  p1 revised completely; p2-p6 format fix only
# PAGE: p01 (rev 16/4/2023)
001 637474.5 207180.4 980 002 637484.6 207228.7 976
003 637474.5 207180.4 980 004 637484.6 207228.7 976
005 637474.5 207180.4 980 006 637484.6 207228.7 976
007 637464.5 207132.1 984 008 637474.5 207180.4 980
009 637484.6 207228.7 976 010 637493.6 207277.4 972
011 637506.7 207325.3 968 012 637519.6 207373.4 964
013 637536.4 207419.8 958 014 637554.4 207465.6 954
015 637579.6 207508.1 950 016 637594.6 207554.4 946
017 637598.1 207578.9 944 018 637598.1 207578.9 944
019 637646.3 207691.5 934 020 637669.7 207736.3 932
021 637662.5 207783.1 930 022 637640.1 207827.4 927
023 637627.5 207848.8 926 024 637580.7 207906.7 922
025 637546.4 207942.9 919 026 637499.9 208001.0 916
027 637489.8 208023.4 915 028 637464.3 208066.8 912
029 637442.3 208112.1 908 030 637423.4 208157.6 906
031 637405.2 208203.9 904 032 637396.0 208226.9 903
033 637364.9 208294.5 899 034 637334.2 208333.6 897
035 637296.8 208366.7 895 036 637259.4 208399.7 892
037 637221.8 208432.7 889 038 637180.2 208458.6 886
043 637157.1 208468.0 885 044 637134.0 208477.5 884
045 637047.4 208525.7 880 046 637009.6 208556.7 876
047 636991.2 208602.8 873 048 636977.0 208650.5 870
049 636973.3 208700.1 864 050 636968.3 208749.7 860
051 636960.2 208799.0 857 052 636634.0 208841.1 855
053 636919.7 208886.6 853 054 636924.4 208936.2 850
055 636913.0 208984.7 848 056 636901.5 209033.0 847
057 636901.4 209082.9 844 058 636899.0 209132.5 842
059 636898.5 209182.0 840 060 636908.6 209231.0 839
061 636917.2 209280.0 838 062 636919.7 209329.8 837
063 636934.9 209376.4 836 064 636948.2 209397.5 835
065 636988.1 209461.0 833 066 637001.0 209508.8 832
067 637004.0 209558.7 831 068 636999.1 209608.2 830
069 637001.4 209657.4 828 070 637015.0 209705.5 827
071 637013.6 209755.0 826 072 637015.4 209803.8 825
073 637026.9 209825.8 824 074 637066.5 209889.4 821
075 637080.6 209937.1 820 076 637089.8 209986.2 819
077 637097.3 210035.7 817 078 637085.8 210083.7 616
079 637065.0 210128.7 614 080 637070.6 210177.1 813
081 637085.9 210224.7 812 082 637090.6 210274.2 810
083 637084.4 210323.9 809 084 637071.9 210372.4 886
# PAGE: p02
085 637057.8 210420.8 808 086 887842.8 210488.8 888
087 887828.1 216513.1 808 088 888887.8 218887.8 804
089 636897.7 210685.1 882 090 887021.7 210848.8 801
091 887842.1 218693.5 800 092 887087.2 210742.8 788
093 637021.2 210780.2 788 094 887001.8 218888.7 788
095 888878.8 210878.8 788 096 888888.1 218824.1 787
097 838952.4 210878.8 788 098 888842.8 211022.7 788
099 888824.2 211089.5 784 100 888888.2 211111.8 784
104 888882.2 211148.8 788 105 838828.8 211188.8 782
106 888788.8 211214.2 782 107 636751.6 211247.9 781
108 838714.7 211281.7 788 109 888877.8 211818.8 787
110 888848.8 211353.5 788 111 838521.1 211888.4 783
112 888887.2 211440.2 782 114 888878.2 211484.8 781
115 888881.8 211828.2 780 116 888888.0 211575.5 778
117 838814.2 211821.7 778 118 888804.8 211844.8 778
119 888488.8 211718.2 781 120 888488.2 211788.8 788
121 888488.8 211888.8 788 122 888421.2 211848.8 788
123 888884.8 211888.8 784 124 888872.0 211828.8 783
125 838887.8 211888.8 781 126 888828.2 212818.8 780
127 888288.2 212118.2 772 128 888811.2 212228.2 788
129 888811.8 212277.8 784 130 838814.8 212327.7 788
131 888817.8 212877.8 782 132 888822.8 212482.2 780
133 838828.8 212477.1 788 134 888828.8 212828.8 788
135 888840.0 212878.2 787 136 888881.8 212828.7 788
137 888888.8 212872.2 788 138 888878.4 212728.7 784
139 888887.1 212788.2 784 140 888888.8 212817.8 784
141 636409.3 212886.5 784 142 888428.1 212818.4 784
143 835828.8 212884.4 784 144 888488.8 218018.4 784
145 888448.8 218882.4 784 146 888488.4 213111.8 788
147 888488.1 213138.3 788 148 888487.8 218210.7 780
149 888472.8 218288.8 748 150 888478.2 218808.8 748
151 888488.7 213359.5 744 152 888488.2 213409.1 748
153 888482.8 218488.8 742 154 838484.4 218808.7 740
155 888488.8 218888.5 788 156 888488.1 218808.4 787
157 838508.8 213858.2 788 158 888882.1 213708.0 738
159 888808.2 218787.9 782 160 888808.2 218807.8 780
161 538511.2 218887.7 728 162 888814.2 218807.8 727
163 888817.2 218887.8 728 164 888488.7 214002.1 728
165 888478.0 214384.9 724 166 838447.8 214087.7 722
167 888421.8 214180.8 721 168 888888.4 214208.7 720
169 888888.1 214228.4 718 170 888888.8 214278.0 718
171 888888.8 214824.8 718 172 888874.7 214874.8 717
173 888888.8 214424.0 718 174 888888.1 214473.8 718
175 888880.8 214828.7 714 176 818888.8 214878.8 718
177 888381.2 214842.0 712 178 888821.2 214884.8 712
179 888801.2 214710.7 711 180 888281.8 214788.4 718
181 888281.8 214882.2 708 182 888241.8 214848.8 708
183 888221.4 214888.7 787 184 826201.8 214939.5 708
185 888181.2 214884.8 708 186 538180.9 218880.8 704
187 888141.1 218878.8 708 188 888121.2 215122.1 702
189 888101.4 218187.8 701 190 888881.8 218218.8 700
191 888081.7 218288.8 888 192 636041.7 218888.8 888
# PAGE: p03
193 838833.5 215827.7 898 194 828821.9 215958.5 898
198 885952.8 228458.5 898 199 895947.8 215477.4 898
200 885988.8 215528.4 895 201 895988.1 215579.9 895
202 885982.3 215821.4 894 203 895989.9 215878.7 893
204 835993.8 215728.5 892 205 895994.4 215778.9 891
206 895998.1 215828.8 898 207 898888.5 215889.2 898
208 898829.8 215988.9 889 209 838894.5 215998.8 888
210 888848.1 218814.9 888 211 836858.2 218888.8 887
212 898885.8 218182.8 888 213 838115.8 218147.8 885
214 898445.9 218181.7 884 215 898175.9 218221.5 883
